[4448322.298111] tg3 0000:03:00.0: eth0: 0x00000830: 0x00000000, 0xffffffff, 0xffffffff, 0xffffffff
[4448322.298114] tg3 0000:03:00.0: eth0: 0x00000840: 0xffffffff, 0xffffffff, 0xffffffff, 0xffffffff
[4448322.298591] tg3 0000:03:00.0: eth0: 0x00004c30: 0x00000000, 0x02624000, 0x000000d3, 0x000000d3
[4448322.298594] tg3 0000:03:00.0: eth0: 0x00004c40: 0x00000000, 0xf04cc000, 0x001d0020, 0x00040020
[4448322.298597] tg3 0000:03:00.0: eth0: 0x00004c50: 0x88e3374e, 0x0074e895, 0x96989e34, 0x21220303
[4448322.298600] tg3 0000:03:00.0: eth0: 0x00004c60: 0x00000020, 0x00000000, 0x00000000, 0x00000000
[4448322.298603] tg3 0000:03:00.0: eth0: 0x00005000: 0x00009800, 0x80004000, 0x00000000, 0x00000000
[4448322.298606] tg3 0000:03:00.0: eth0: 0x00005010: 0x00000000, 0x00000000, 0x00000000, 0x08002034
[4448322.298609] tg3 0000:03:00.0: eth0: 0x00005020: 0x8c43000c, 0x00000000, 0x00000000, 0x40000020
[4448322.298612] tg3 0000:03:00.0: eth0: 0x00005030: 0x00000000, 0x0000001d, 0x00000000, 0x00000000
[4448322.298615] tg3 0000:03:00.0: eth0: 0x00005040: 0x00000000, 0x00000000, 0x0800278c, 0x00000000
[4448322.298617] tg3 0000:03:00.0: eth0: 0x00005080: 0x00009800, 0x80004000, 0x00000000, 0x00000000
[4448322.298620] tg3 0000:03:00.0: eth0: 0x00005090: 0x00000000, 0x00000000, 0x00000000, 0x08001b10
[4448322.298622] tg3 0000:03:00.0: eth0: 0x000050a0: 0x1460002b, 0x00000000, 0x00000000, 0x40000020
[4448322.298625] tg3 0000:03:00.0: eth0: 0x000050b0: 0x00000000, 0x0000001d, 0x00000000, 0x00000000
[4448322.298628] tg3 0000:03:00.0: eth0: 0x000050c0: 0x00000000, 0x00000000, 0x080020e2, 0x00000000
[4448322.298630] tg3 0000:03:00.0: eth0: 0x00005100: 0x00009800, 0x80000000, 0x00000000, 0x00000000
[4448322.298633] tg3 0000:03:00.0: eth0: 0x00005110: 0x00000000, 0x00000000, 0x00000000, 0x08001abc
[4448322.298636] tg3 0000:03:00.0: eth0: 0x00005120: 0x00031f82, 0x00000000, 0x00000000, 0x40000020
[4448322.298638] tg3 0000:03:00.0: eth0: 0x00005130: 0x00000000, 0x0000001d, 0x00000000, 0x00000000
[4448322.298641] tg3 0000:03:00.0: eth0: 0x00005140: 0x00000000, 0x00000000, 0x080020c0, 0x00000000
[4448322.298643] tg3 0000:03:00.0: eth0: 0x00005180: 0x00009800, 0x80004000, 0x00000000, 0x00000000
[4448322.298646] tg3 0000:03:00.0: eth0: 0x00005190: 0x00000000, 0x00000000, 0x00000000, 0x08002790
[4448322.298649] tg3 0000:03:00.0: eth0: 0x000051a0: 0x3c03c001, 0x00000000, 0x00000000, 0x40000020
[4448322.298651] tg3 0000:03:00.0: eth0: 0x000051b0: 0x00000000, 0x0000001d, 0x00000000, 0x00000000
[4448322.298654] tg3 0000:03:00.0: eth0: 0x000051c0: 0x00000000, 0x00000000, 0x080019b0, 0x00000000
[4448322.298657] tg3 0000:03:00.0: eth0: 0x00005200: 0x146001a5, 0x00000000, 0x00000015, 0x00000000
[4448322.298659] tg3 0000:03:00.0: eth0: 0x00005210: 0x08000000, 0x02ed9b27, 0x06000000, 0x00000000
[4448322.298662] tg3 0000:03:00.0: eth0: 0x00005220: 0x08000000, 0x00000000, 0x08000000, 0x02ed9b27
[4448322.298664] tg3 0000:03:00.0: eth0: 0x00005230: 0x06000000, 0x00000000, 0x08000000, 0x00000000
[4448322.298667] tg3 0000:03:00.0: eth0: 0x00005240: 0x08000000, 0x02ed9b27, 0x06000000, 0x00000000
[4448322.298670] tg3 0000:03:00.0: eth0: 0x00005250: 0x08000000, 0x00000000, 0x08000000, 0x02ed9b27
[4448322.298672] tg3 0000:03:00.0: eth0: 0x00005260: 0x06000000, 0x00000000, 0x08000000, 0x00000000
[4448322.298675] tg3 0000:03:00.0: eth0: 0x00005270: 0x08000000, 0x02ed9b27, 0x06000000, 0x00000000
[4448322.298678] tg3 0000:03:00.0: eth0: 0x00005280: 0x00009800, 0x80004000, 0x00000000, 0x00000000
[4448322.298680] tg3 0000:03:00.0: eth0: 0x00005290: 0x00000000, 0x00000000, 0x00000000, 0x08002034
[4448322.298683] tg3 0000:03:00.0: eth0: 0x000052a0: 0x00031f02, 0x00000000, 0x00000000, 0x40000020
