#gluster volume status g_sftp1 clients
Client connections for volume g_sftp1
----------------------------------------------
Brick : gstorage-60-3.zue.alipay.com:/data/sftp1
Clients connected : 189
Hostname                                               BytesRead    BytesWritten
10.190.12.48:812                                            1200             808
10.190.12.48:810                                             844             436
10.190.12.54:1010                                            844             436
10.190.12.46:804                                             844             436
10.190.12.29:802                                            1200             808
10.190.12.8:804                                             1200             808
10.190.12.57:1021                                            844             436
10.190.12.42:814                                      2426107672      2076740384
10.190.12.41:793                                             844             436
10.190.12.42:781                                             844             436
10.190.12.60:794                                             844             436
10.190.12.15:996                                             844             436
10.228.211.191:814                                          1192             808
10.190.12.19:795                                             844             436
10.228.211.191:810                                           836             436
10.190.12.55:790                                            1076             684
10.228.211.17:787                                            844             436
10.190.12.47:787                                            1076             684
10.190.12.51:797                                             844             436
10.190.12.52:806                                            1200             808
10.190.12.8:785                                              844             436
10.190.12.53:1011                                           1076             684
10.190.12.31:782                                            1076             684
10.190.12.57:784                                            1076             684
10.190.12.19:772                                            1200             808
10.190.12.35:794                                             844             436
10.190.12.38:770                                            1200             808
10.190.12.29:761                                             844             436
10.190.12.26:766                                            1076             684
10.190.12.46:763                                            1200             808
10.228.12.119:1017                                         22636           24120
10.190.12.55:769                                             844             436
10.190.12.36:765                                            1076             684
10.190.12.53:768                                             844             436
10.190.12.56:760                                            1076             684
10.190.12.31:756                                             844             436
10.190.12.36:756                                             844             436
10.190.12.59:728                                             844             436
10.190.12.15:771                                            1076             684
10.190.12.10:759                                             844             436
10.190.12.51:753                                            1200             808
10.190.12.41:747                                            1076             684
10.214.48.36:1009                                         542900          617300
10.190.12.10:743                                            1076             684
10.190.12.35:779                                            1076             684
10.190.12.52:774                                             844             436
10.228.2.38:1006                                   1495708562135     32545397517
10.190.12.30:736                                            1200             808
10.190.12.59:696                                            1076             684
10.190.12.60:729                                            1076             684
10.190.12.27:733                                            1076             684
10.190.12.30:1015                                            844             436
10.208.15.146:1005                                  339966106522   2351101276151
10.208.0.33:1006                                    224585795992   2281814596855
10.208.0.32:1008                                    256424550116   2295633867335
10.208.15.154:1010                                  338885585769   2345731679665
10.208.0.34:1012                                    252275716069   2205901185700
10.208.32.42:1008                                   218974001521   2361180781369
10.208.32.41:1022                                   227073823555   1816671625018
10.208.32.43:1005                                   257694869551   2110825423408
10.208.47.96:1007                                   265678006938   2714267785282
----------------------------------------------
Brick : gstorage-80-3.zth.alipay.com:/data/sftp1
Clients connected : 189
Hostname                                               BytesRead    BytesWritten
--------                                               ---------    ------------
10.212.18.19:658                                            2984            2368
10.212.18.14:681                                            2860            2244
10.212.18.27:676                                            2984            2368
10.212.18.13:685                                            2860            2244
10.212.20.26:697                                            2860            2244
10.212.18.22:677                                            2860            2244
10.212.18.15:694                                            2860            2244
10.212.18.20:751                                            3052            2408
10.212.18.25:828                                            2860            2244
10.212.18.24:711                                            3052            2408
10.212.20.13:684                                            2320            2072
10.212.20.21:684                                            2320            2072
10.212.18.29:688                                            2320            2072
10.212.18.24:692                                            2320            2072
10.212.20.29:687                                            2320            2072
10.212.18.21:691                                            2320            2072
10.212.18.11:688                                            2320            2072
10.212.20.12:692                                            2320            2072
10.212.18.30:691                                            2320            2072
10.212.20.17:692                                            2320            2072
10.212.18.19:533                                            2320            2072
10.212.20.29:708                                            2860            2244
10.212.18.26:910                                      3531355244      2518909622
10.212.18.25:620                                            2320            2072
10.212.18.27:588                                            2320            2072
10.212.18.14:601                                            2320            2072
10.212.18.22:521                                            2320            2072
10.212.18.13:555                                            2320            2072
10.212.18.18:656                                            2320            2072
10.212.18.20:654                                            2320            2072
10.212.18.15:592                                            2320            2072
10.212.18.23:686                                            2320            2072
10.212.18.12:530                                            2320            2072
10.212.20.28:596                                            2320            2072
10.212.18.16:596                                            2320            2072
10.212.18.23:1006                                           2984            2368
10.212.20.11:592                                            2320            2072
10.212.20.16:918                                            2320            2072
10.212.18.17:532                                            2320            2072
10.212.18.18:748                                            2860            2244
10.212.18.29:703                                            2860            2244
10.212.18.30:727                                            3052            2408
10.212.20.21:698                                            3052            2408
10.212.20.12:727                                            2860            2244
10.212.20.13:696                                            2860            2244
10.212.18.11:725                                            3052            2408
10.212.20.28:733                                            2860            2244
10.212.18.21:713                                            2860            2244
10.212.20.17:732                                            2860            2244
10.212.18.16:742                                            2860            2244
10.212.18.12:738                                            2860            2244
10.212.20.26:693                                            2320            2072
10.212.20.11:748                                            2860            2244
10.212.18.26:625                                            2320            2072
10.212.20.16:739                                            2860            2244
10.212.18.17:756                                            2860            2244
10.225.177.159:844                                           844             436
10.225.177.161:816                                          1584            1136
10.225.177.18:814                                            844             436
10.225.177.40:839                                           1584            1136
10.225.177.40:835                                            844             436
10.225.176.201:819                                           844             436
10.225.177.186:817                                          1584            1136
10.225.177.240:814                                          1460            1012
10.225.176.225:813                                           844             436
10.225.177.66:836                                     2902931717      2097656240
10.225.176.248:894                                          1584            1136
10.225.177.161:794                                           844             436
10.225.177.237:826                                           844             436
10.225.0.184:1011                                           1460            1012
10.225.176.201:1014                                         1584            1136
10.225.176.225:900                                          1584            1136
10.225.177.238:798                                           844             436
10.225.176.224:998                                           844             436
10.225.177.63:811                                            844             436
10.225.177.42:810                                            844             436
10.225.177.184:815                                           844             436
10.225.177.240:786                                           844             436
10.225.177.16:807                                           1584            1136
10.225.177.63:806                                           1584            1136
10.225.177.42:803                                           1460            1012
10.225.177.90:879                                           1460            1012
10.225.177.236:1001                                         1460            1012
10.225.177.159:807                                          1460            1012
10.225.177.137:829                                          1584            1136
10.225.177.184:791                                          1584            1136
10.225.176.249:784                                          1584            1136
10.225.177.210:815                                          1584            1136
10.225.177.113:787                                          1460            1012
10.225.177.138:840                                          1460            1012
10.225.177.90:801                                            844             436
10.215.105.175:1011                                        34108           35728
10.225.176.102:778                                          1460            1012
10.225.176.200:788                                           844             436
10.225.176.224:790                                          1460            1012
10.225.176.153:954                                           844             436
10.225.177.18:767                                           1460            1012
10.225.176.249:773                                           844             436
10.225.177.237:777                                          1460            1012
10.225.177.210:859                                           844             436
10.225.176.200:769                                          1460            1012
10.225.177.66:910                                            844             436
10.225.177.138:760                                           844             436
10.225.177.236:762                                           844             436
10.225.176.102:763                                           844             436
10.225.177.238:922                                          1584            1136
10.225.177.16:752                                            844             436
10.225.0.184:760                                             844             436
10.225.177.137:754                                           844             436
10.225.176.248:748                                           844             436
10.225.177.186:747                                           844             436
10.225.177.113:748                                           844             436
10.225.176.153:749                                          1460            1012
10.225.177.231:777                                          1584            1136
10.225.177.231:752                                           844             436
10.225.87.147:1010                                 2763651054096   1933980518860
10.228.211.191:838                                           836             436
10.190.12.15:817                                            1200             808
10.228.211.17:816                                           1200             808
10.190.12.27:818                                             844             436
10.190.12.26:814                                            1200             808
10.190.12.53:1017                                           1200             808
10.190.12.54:806                                            1200             808
10.228.126.40:1010                                    2907152623      1816403635
10.190.12.56:817                                             844             436
10.190.12.41:803                                             844             436
10.190.12.28:812                                            1200             808
10.228.2.38:1012                                   1495817233763     32542877789
10.190.12.10:804                                             844             436
10.190.12.47:803                                            1200             808
10.190.12.57:804                                            1200             808
10.190.12.55:802                                             844             436
10.190.12.42:851                                      2425450572      1730332048
10.190.12.55:803                                            1200             808
10.190.12.28:792                                             844             436
10.190.12.54:814                                             844             436
10.190.12.60:790                                             844             436
10.190.12.26:799                                             844             436
10.190.12.46:1022                                            844             436
10.190.12.19:784                                             844             436
